Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,MFR,MPN,DPN,,,
"C12,C13",2,1u,,,,Samsung Electro-Mechanics,CL21B105KBFNNNE,1276-1029-1-ND,,,
"C1,C2,C3,C4,C5,C6,C8,C9",8,1u,,,,Samsung Electro-Mechanics,CL21B105KBFNNNE,1276-1029-1-ND,,,
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13",13,1u,,,,Samsung Electro-Mechanics,CL21B105KBFNNNE,1276-1029-1-ND,,,
"C1,C2,C3,C4,C5,C6,C7",7,1u,,,,Samsung Electro-Mechanics,CL21B105KBFNNNE,1276-1029-1-ND,,,
"C1,C2,C3,C4,C5,C6,C7,C8,C12,C13",10,1u,,,,Samsung Electro-Mechanics,CL21B105KBFNNNE,1276-1029-1-ND,,,
"C1,C2,C3,C4,C5,C6,C7,C9",8,1u,,,,Samsung Electro-Mechanics,CL10A105KA8NNNC,1276-1102-1-ND,,,48
,,,,,,,,,,,
C8,1,4u7,,,,Samsung Electro-Mechanics,CL21A475KAQNNNE,1276-1244-1-ND,,,
C12,1,4u7,,,,Samsung Electro-Mechanics,CL21A475KAQNNNE,1276-1244-1-ND,,,
C14,1,4u7,,,,Samsung Electro-Mechanics,CL21A475KAQNNNE,1276-1244-1-ND,,,
"C8,C9",2,4u7,,,,Murata Electronics,GRM21BZ7YA475KE15K,490-GRM21BZ7YA475KE15KCT-ND,,,5
,,,,,,,,,,,
R1,1,470R_1W,,,,YAGEO,RC2512FK-07470RL,13-RC2512FK-07470RLCT-ND,,,
R1,1,0.47R,,,,  YAGEO,RL1206FR-070R47L,311-.47LWCT-ND,,,
R2,1,0.47R,,,,  YAGEO,RL1206FR-070R47L,311-.47LWCT-ND,,,
"R1,R2",2,0.47R,,,,  YAGEO,RL1206FR-070R47L,311-.47LWCT-ND,,,
R1,1,0.47R,,,,  YAGEO,RL1206FR-070R47L,311-.47LWCT-ND,,,6
,,,,,,,,,,,
R6,1,249K_0.1%,,,,YAGEO,RC0603FR-07249KL,311-249KHRCT-ND,,,
R3,1,249K_0.1%,,,,YAGEO,RC0603FR-07249KL,311-249KHRCT-ND,,,
R3,1,249K_0.1%,,,,YAGEO,RC0603FR-07249KL,311-249KHRCT-ND,,,3
,,,,,,,,,,,
"CR1,CR2,CR3",3,SS2040FL_R1_00001,,,,,SS2040FL_R1_00001,3757-SS2040FL_R1_00001CT-ND,,,
"CR1,CR2,CR3",3,SS2040FL_R1_00001,,,,,SS2040FL_R1_00001,3757-SS2040FL_R1_00001CT-ND,,,
"CR1,CR2,CR4",3,SS2040FL_R1_00001,,,,,SS2040FL_R1_00001,3757-SS2040FL_R1_00001CT-ND,,,
"CR1,CR2,CR5",3,SS2040FL_R1_00001,,,,,SS2040FL_R1_00001,3757-SS2040FL_R1_00001CT-ND,,,
"CR1,CR2,CR4",3,SS2040FL_R1_00001,,,,,SS2040FL_R1_00001,3757-SS2040FL_R1_00001CT-ND,,,15
,,,,,,,,,,,
C14,1,100n,,,,,C0603C104K5RACTU,399-C0603C104K5RACTUCT-ND,,,
C13,1,0u1,,,,TDK Corporation,C1608X7R1H104K080AA,445-1314-1-ND,,,
C10,1,0u1,,,,TDK Corporation,C1608X7R1H104K080AA,445-1314-1-ND,,,
C9,1,0u1,,,,TDK Corporation,C1608X7R1H104K080AA,445-1314-1-ND,,,4
,,,,,,,,,,,
SW1,1,Button-THT - 2-1825910-7,,,,TE Connectivity ALCOSWITCH Switches,2-1825910-7,450-1642-ND,,,
SW2,1,Button-THT - 2-1825910-7,,,,TE Connectivity ALCOSWITCH Switches,2-1825910-7,450-1642-ND,,,
SW1,1,Button-THT - 2-1825910-7,,,,TE Connectivity ALCOSWITCH Switches,2-1825910-7,450-1642-ND,,,
SW1,1,Button,,,,TE Connectivity ALCOSWITCH Switches,FSMSMTR,450-1758-1-ND,,,
SW1,1,Button,,,,TE Connectivity ALCOSWITCH Switches,FSMSMTR,450-1758-1-ND,,,5
,,,,,,,,,,,
VR1,1,NCP1117-3.3V,,,,onsemi,NCP1117IST33T3G,488-NCP1117IST33T3GCT-ND,,,
VR1,1,NCP1117-3.3V,,,,onsemi,NCP1117IST33T3G,488-NCP1117IST33T3GCT-ND,,,
VR1,1,NCP1117-3.3V,,,,onsemi,NCP1117IST33T3G,488-NCP1117IST33T3GCT-ND,,,3
,,,,,,,,,,,
C11,1,10u,,,,Murata Electronics,GRM21BR61H106KE43L,490-18663-1-ND,,,
"C7,C10",2,10u,,,,Murata Electronics,GRM21BR61H106KE43L,490-18663-1-ND,,,
"C11,C12,C13",3,10u,,,,Murata Electronics,GRM21BR61H106KE43L,490-18663-1-ND,,,
C11,1,10u,,,,Murata Electronics,GRM21BR61H106KE43L,490-18663-1-ND,,,7
,,,,,,,,,,,
,,,,,,,,,,,
J2,1,Screw_Terminal_2x2.54,,,,Würth Elektronik,6.91E+11,732-691210910002-ND,,,
J2,1,Screw_Terminal_2x2.54,,,,Würth Elektronik,6.91E+11,732-691210910002-ND,,,
J1,1,Screw_Terminal_2x2.54,,,,Würth Elektronik,6.91E+11,732-691210910002-ND,,,
J3,1,Screw_Terminal_2x2.54,,,,Würth Elektronik,6.91E+11,732-691210910002-ND,,,5
J2,1,Screw_Terminal_2x5.08,,,,Molex,398800302,WM4393-ND,,,1
,,,,,,,,,,,
R3,1,1M,,,,Panasonic Electronic Components,ERJ-3EKF1004V,P1.00MHCT-ND,,,
R7,1,1M,,,,Panasonic Electronic Components,ERJ-3EKF1004V,P1.00MHCT-ND,,,
R3,1,1M,,,,Panasonic Electronic Components,ERJ-3EKF1004V,P1.00MHCT-ND,,,
R2,1,1M,,,,Panasonic Electronic Components,ERJ-3EKF1004V,P1.00MHCT-ND,,,
R4,1,1M,,,,Panasonic Electronic Components,ERJ-3EKF1004V,P1.00MHCT-ND,,,5
,,,,,,,,,,,
R5,1,100K,,,,Stackpole Electronics Inc,RMCF0603FT100K,RMCF0603FT100KCT-ND,,,1
R4,1,220K,,,,Stackpole Electronics Inc,RMCF0603FT220K,RMCF0603FT220KCT-ND,,,
R5,1,220K,,,,Stackpole Electronics Inc,RMCF0603FT220K,RMCF0603FT220KCT-ND,,,2
R4,1,330R,,,,Stackpole Electronics Inc,RMCF0603FT330R,RMCF0603FT330RCT-ND,,,1
,,,,,,,,,,,
R2,1,10k,,,,Stackpole Electronics Inc,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,,,
R2,1,10k,,,,Stackpole Electronics Inc,RMCF0603JT10K0,RMCF0603JT10K0CT-ND,,,2
,,,,,,,,,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,
SRP3012TA-100M1,1,10uH,,,,Bourns Inc.,SRP3012TA-100M,SRP3012TA-100MCT-ND,,,5
,,,,,,,,,,,
,,,,,,,,,,,
"Q1,Q2",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
Q2,1,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
"Q1,Q2",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
"Q1,Q3",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,
"Q1,Q3",2,ZXM61N03F,,,,,ZXM61N03FTA,ZXM61N03FCT-ND,,,9
,,,,,,,,,,,
U1,1,LDO40LPU33RY,,,,,,,,,
U1,1,LDO40LPU33RY,,,,,,,,,
A2,1,RaspberryPi_Pico,,,,,,,,,
A1,1,RaspberryPi_Pico,,,,,,,,,
A1,1,RaspberryPi_Pico,,,,,,,,,
A1,1,RaspberryPi_Pico,,,,,,,,,
A2,1,RaspberryPi_Pico,,,,,,,,,
,,,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J3,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,,,,,
J1,1,FH34SRJ-24S-0.5SH_99_,,,,,FH34SRJ-24S-0.5SH(99),H124725CT-ND,,,1
